"","dyadID","a2pSOO_A","a2pSOO_P","age_A","age_P","authenticity_A","authenticity_P","avg_sexism_A","avg_sexism_P","careerasp_A","careerasp_P","gender_A","gender_P","howbody_avg_A","howbody_avg_P","inter_1_A","inter_1_P","inter_10_A","inter_10_P","inter_3_A","inter_3_P","inter_5_A","inter_5_P","inter_6_A","inter_6_P","inter_7_A","inter_7_P","inter_9_A","inter_9_P","interaux_5_A","interaux_5_P","interaux_6_A","interaux_6_P","metaSOO_A","metaSOO_P","partID_A","partID_P","partnum_A","partnum_P","personE_A","personE_P","race_A","race_P","relag_A","relag_P","sexism_logel_A","sexism_logel_P","sexor_A","sexor_P","trigram_score_A","trigram_score_P","TSO_A","TSO_P","smith_or_clark"
"18",23,-1,-2.45714285714286,18,19,6,6.22222222222222,3.4,2.61904761904762,3.6,3.9,2,2,2,1,6,5,6,7,7,6,7,7,5,5,6,5,4,7,7,7,6,7,-0.514285714285714,-1.51428571428571,54,55,1,1,-1,1,2,3,4.55555555555556,6.33333333333333,4.16666666666667,2.11111111111111,1,3,1,8,-1,1,"Clark"
"19",25,-1.51428571428571,-1.45714285714286,19,18,3.88888888888889,5.44444444444444,2.80952380952381,3.23809523809524,3.1,4.6,2,2,2.5,1,3,7,2,4,6,4,6,7,5,6,3,4,5,4,3,6,2,7,-2.2,-2.4,59,58,2,2,1,-1,3,4,4.33333333333333,5,2.77777777777778,3.33333333333333,1,1,5,2,2.2,-1.8,"Clark"
"20",25,-1.45714285714286,-1.51428571428571,18,19,5.44444444444444,3.88888888888889,3.23809523809524,2.80952380952381,4.6,3.1,2,2,1,2.5,7,3,4,2,4,6,7,6,6,5,4,3,4,5,6,3,7,2,-2.4,-2.2,58,59,1,1,-1,1,4,3,5,4.33333333333333,3.33333333333333,2.77777777777778,1,1,2,5,-1.8,2.2,"Clark"
"21",26,-2.45714285714286,-0.628571428571429,18,19,5.44444444444444,6.66666666666667,3.04761904761905,3,4.4,4.3,2,2,3,1,5,6,4,7,5,6,7,7,5,6,7,7,4,7,6,7,6,7,-1.2,0,61,60,2,2,1,-1,1,3,4.88888888888889,5.22222222222222,2.66666666666667,3,1,1,5,8,-0.199999999999999,-2.6,"Clark"
"22",26,-0.628571428571429,-2.45714285714286,19,18,6.66666666666667,5.44444444444444,3,3.04761904761905,4.3,4.4,2,2,1,3,6,5,7,4,6,5,7,7,6,5,7,7,7,4,7,6,7,6,0,-1.2,60,61,1,1,-1,1,3,1,5.22222222222222,4.88888888888889,3,2.66666666666667,1,1,8,5,-2.6,-0.199999999999999,"Clark"
"23",28,-2.14285714285714,0.885714285714285,18,18,5.44444444444444,5.55555555555556,3.23809523809524,2.76190476190476,3.4,3.1,2,2,3,1,5,6,4,5,6,7,7,7,4,4,6,6,5,5,6,5,6,5,-1.68571428571429,0.428571428571429,66,65,2,2,1,-1,3,3,4.66666666666667,5.44444444444444,3.11111111111111,2.55555555555556,1,3,6,7,3.4,1.8,"Clark"
"24",28,0.885714285714285,-2.14285714285714,18,18,5.55555555555556,5.44444444444444,2.76190476190476,3.23809523809524,3.1,3.4,2,2,1,3,6,5,5,4,7,6,7,7,4,4,6,6,5,5,5,6,5,6,0.428571428571429,-1.68571428571429,65,66,1,1,-1,1,3,3,5.44444444444444,4.66666666666667,2.55555555555556,3.11111111111111,3,1,7,6,1.8,3.4,"Clark"
"25",101,-0.4,0.285714285714286,21,20,4.11111111111111,4.88888888888889,3.125,3.25,4.1,3.2,2,2,4,2,3,4,4,6,4,5,4,6,4,3,4,6,4,4,5,5,5,5,0.0857142857142854,1.05714285714286,5,4,2,2,1,-1,2,3,4.88888888888889,5.11111111111111,4.16666666666667,3.33333333333333,1,2,2,7,3,3,"Smith"
"26",101,0.285714285714286,-0.4,20,21,4.88888888888889,4.11111111111111,3.25,3.125,3.2,4.1,2,2,2,4,4,3,6,4,5,4,6,4,3,4,6,4,4,4,5,5,5,5,1.05714285714286,0.0857142857142854,4,5,1,1,-1,1,3,2,5.11111111111111,4.88888888888889,3.33333333333333,4.16666666666667,2,1,7,2,3,3,"Smith"
"27",102,-4.05714285714286,-2.34285714285714,20,20,6.33333333333333,5.77777777777778,3,NA,4.7,4.6,2,2,2,1,6,6,7,5,6,5,6,6,5,6,7,6,6,6,7,6,7,6,-4.6,-2.65714285714286,991104206,991136713,1,1,-1,1,3,2,5.44444444444444,3,3,NA,1,1,5,6,-3,2.2,"Smith"
"28",102,-2.34285714285714,-4.05714285714286,20,20,5.77777777777778,6.33333333333333,NA,3,4.6,4.7,2,2,1,2,6,6,5,7,5,6,6,6,6,5,6,7,6,6,6,7,6,7,-2.65714285714286,-4.6,991136713,991104206,2,2,1,-1,2,3,3,5.44444444444444,NA,3,1,1,6,5,2.2,-3,"Smith"
