"partID","dyadID","trigram","correct_response","response"
"76","28","CURIOSITY:NAP:WHISKERS","Cat",""
"76","28","STALK:TRAINER:KING","Lion",""
"76","28","SURPRISE:LINE:BIRTHDAY","Party","years"
"76","28","RED:GO:CAR","Stop",""
"76","28","MOUSE : SHARP : BLUE","Cheese",""
"77","29","QUACK:POND:WADDLE","Duck",""
"77","29","ATHLETES:WEB:RABBIT","Foot","luc"
"77","29","HONEY:SWARM:STING","Bee",""
"77","29","MATCHES:SMOKE:BUSH","Fire",""
"77","29","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"77","29","CURIOSITY:NAP:WHISKERS","Cat","cat"
"77","29","STALK:TRAINER:KING","Lion",""
"77","29","SURPRISE:LINE:BIRTHDAY","Party","party"
"77","29","RED:GO:CAR","Stop","light"
"77","29","MOUSE : SHARP : BLUE","Cheese","cheese"
"78","29","QUACK:POND:WADDLE","Duck","duck"
"78","29","ATHLETES:WEB:RABBIT","Foot","foot"
"78","29","HONEY:SWARM:STING","Bee","bee"
"78","29","MATCHES:SMOKE:BUSH","Fire","fire"
"78","29","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"78","29","CURIOSITY:NAP:WHISKERS","Cat","cat"
"78","29","STALK:TRAINER:KING","Lion",""
"78","29","SURPRISE:LINE:BIRTHDAY","Party","party"
"78","29","RED:GO:CAR","Stop","light"
"78","29","MOUSE : SHARP : BLUE","Cheese",""
"79","30","QUACK:POND:WADDLE","Duck","Paradise"
"79","30","ATHLETES:WEB:RABBIT","Foot","sports"
"79","30","HONEY:SWARM:STING","Bee","beehive"
"79","30","MATCHES:SMOKE:BUSH","Fire","forest fire"
"79","30","CHOCOLATE:FORTUNE:TIN","Cookie","christmas"
"79","30","CURIOSITY:NAP:WHISKERS","Cat","cat"
"79","30","STALK:TRAINER:KING","Lion","Ruler"
"79","30","SURPRISE:LINE:BIRTHDAY","Party","party"
"79","30","RED:GO:CAR","Stop","firetruck"
"79","30","MOUSE : SHARP : BLUE","Cheese","trap"
"8","3","QUACK:POND:WADDLE","Duck","duck"
"8","3","ATHLETES:WEB:RABBIT","Foot","foot"
"8","3","HONEY:SWARM:STING","Bee","bee"
"8","3","MATCHES:SMOKE:BUSH","Fire","wood"
"8","3","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"8","3","CURIOSITY:NAP:WHISKERS","Cat","cat"
"8","3","STALK:TRAINER:KING","Lion",""
"8","3","SURPRISE:LINE:BIRTHDAY","Party","party"
"8","3","RED:GO:CAR","Stop",""
"8","3","MOUSE : SHARP : BLUE","Cheese","cheese"
"80","30","QUACK:POND:WADDLE","Duck",""
"80","30","ATHLETES:WEB:RABBIT","Foot","HOLE"
