partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
28.00,13.00,2.00,Helen crammed for the test ,in order not to flunk out of college.,3.00,4,3,
28.00,13.00,3.00,Shirley asked for help getting home ,from the nice staff at the subway.,3.00,3,3,
28.00,13.00,4.00,Sam read the newspaper ,and laughed at the comics.,4.00,3,3,
28.00,13.00,5.00,Jenny went home to cook dinner ,for her family of three.,5.00,4,5,
28.00,13.00,6.00,Katherine baby-sat the neighbor's kids ,while their parents went on a dinner date.,3.00,3,3,
28.00,13.00,7.00,Tom bottle fed the baby ,with care.,3.00,3,2,
28.00,13.00,8.00,Bert changed the oil ,on his Mercedes,3.00,3,3,
30.00,14.00,1.00,Linda swatted at the flies ,with furious discontent.,4.00,4,4,
30.00,14.00,2.00,Helen crammed for the test ,in panic after she procrastinated all week.,4.00,4,4,
30.00,14.00,3.00,Shirley asked for help getting home ,because she felt unsafe walking on the street.,3.00,5,5,
30.00,14.00,4.00,Sam read the newspaper ,with interest centering on the comics.,5.00,3,3,
30.00,14.00,5.00,Jenny went home to cook dinner ,because she had a long enough day at the office.,1.00,1,1,
30.00,14.00,6.00,Katherine baby-sat the neighbor's kids ,while they were away on vacation.,3.00,3,3,
30.00,14.00,7.00,Tom bottle fed the baby ,though he was irritated; his wife wanted to watch Opera instead.,5.00,4,5,
30.00,14.00,8.00,Bert changed the oil ,bottle and refilled it with more olive oil for cooking later.,1.00,1,2,
31.00,14.00,1.00,Linda swatted at the flies ,away from her face.,3.00,3,2,
31.00,14.00,2.00,Helen crammed for the test ,a lot faster than she normally does.,3.00,3,3,
31.00,14.00,3.00,Shirley asked for help getting home ,after a party.,3.00,3,2,
31.00,14.00,4.00,Sam read the newspaper ,quickly.,3.00,3,3,
31.00,14.00,5.00,Jenny went home to cook dinner ,for her 17 children.,4.00,5,5,
31.00,14.00,6.00,Katherine baby-sat the neighbor's kids ,for a small bribe.,2.00,3,3,
31.00,14.00,7.00,Tom bottle fed the baby ,in disgust.,5.00,5,5,
31.00,14.00,8.00,Bert changed the oil ,of his new for fusion.,3.00,3,3,
37.00,16.00,1.00,Linda swatted at the flies ,that surrounded her face as she entered the humid dump.,3.00,3,3,
